smiles,FishAT,group
CCC(=O)c1ccc(N)cc1,1,valid
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,train
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,1,test
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1,train
O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,1,train
Clc1cccc(Cl)c1C(Cl)Cl,1,train
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,valid
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,1,train
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,1,train
Clc1cccc(Cl)c1Cl,1,train
Oc1c(Cl)cccc1Cl,1,train
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,train
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,1,train
Cc1cc(O)cc(C)c1Cl,1,train
Oc1c(Cl)cc(Cl)cc1Cl,1,train
NC(=O)c1ccccc1N,1,train
O=[N+]([O-])c1ccccc1Cl,1,train
Nc1ccccc1[N+](=O)[O-],1,train
Cc1ccc(Cl)cc1[N+](=O)[O-],1,train
O=[N+]([O-])c1cc(Cl)ccc1Cl,1,train
Cc1ccc(N)c([N+](=O)[O-])c1,1,valid
Cc1cc(O)c(C(C)C)cc1Cl,1,train
O=Cc1ccccc1Cl,1,train
COc1ccccc1N,1,train
Clc1cccc2ccccc12,1,train
Nc1ccc2ccccc2c1,1,train
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1,train
Oc1ccc(-c2ccccc2)c(Cl)c1,1,train
Nc1ccc(-c2ccc(N)cc2)cc1,1,train
Cc1cc(Cl)ccc1OC(C)C(=O)O,1,train
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,1,train
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,1,train
CCOC(=O)c1ccc(N)cc1,1,train
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,1,train
Cc1cc(Cl)ccc1OCC(=O)O,1,train
O=C(O)COc1ccc(Cl)cc1Cl,1,train
CCCCOC(=O)COc1ccc(Cl)cc1Cl,1,train
Cc1cc(Cl)ccc1OCCCC(=O)O,1,train
O=C(O)CCCOc1ccc(Cl)cc1Cl,1,train
Cc1ccccc1Cl,1,train
Clc1ccccc1Cl,1,train
Nc1ccccc1Cl,1,train
Cc1ccccc1N,1,test
Nc1ccccc1N,1,valid
Oc1ccccc1Cl,1,train
Cc1ccc(Cl)c(Cl)c1,1,train
Nc1ccc(Cl)c(Cl)c1,1,train
Oc1ccc(Cl)c(Cl)c1,1,train
Cc1ccc(N)cc1N,1,train
Cc1ccc(Cl)c(N)c1,1,train
Nc1cc(Cl)ccc1Cl,1,train
Oc1ccc(Cl)c(O)c1,0,train
Clc1cc(Cl)c(Cl)cc1Cl,1,train
Oc1cc(Cl)c(Cl)cc1Cl,1,valid
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,train
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1,train
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,train
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,1,train
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,1,train
Cc1cc(S(=O)(=O)O)ccc1N,0,train
CC(=O)c1cccc(N)c1,1,train
Nc1cccc([N+](=O)[O-])c1,1,train
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,train
Cc1cc([N+](=O)[O-])ccc1N,1,train
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,valid
Cc1ccc([N+](=O)[O-])cc1N,1,train
CC(C)c1ccc(N)cc1,1,train
O=[N+]([O-])c1ccc(Cl)cc1,1,train
Nc1ccc([N+](=O)[O-])cc1,1,train
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1,train
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1,train
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,1,train
CC(C)OC(=O)Nc1cccc(Cl)c1,1,train
O=C(Nc1cccc(Cl)c1)OCC#CCCl,1,train
Nc1ccc(Cc2ccc(N)cc2)cc1,1,train
CCCCc1ccc(N)cc1,1,train
O=Cc1ccc(Cl)cc1,1,valid
Nc1ccc(Br)cc1,1,valid
Cc1ccc(Cl)cc1,1,train
Clc1ccc(Cl)cc1,1,train
Nc1ccc(Cl)cc1,1,valid
Oc1ccc(Cl)cc1,1,train
Cc1ccc(N)cc1,1,train
Nc1ccc(N)cc1,1,train
Nc1cccc(Cl)c1,1,train
Oc1cccc(Cl)c1,1,train
Cc1cc(C)cc(N)c1,1,train
Clc1cc(Cl)cc(Cl)c1,1,train
Clc1ccccc1,1,train
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1,train
O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,1,test
Cc1c(Cl)cccc1Cl,1,train
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,train
Cc1ccc(N)cc1[N+](=O)[O-],1,train
Nc1ccc(O)c([N+](=O)[O-])c1,1,test
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,1,train
Oc1ccc(Cl)cc1Cc1ccccc1,1,valid
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,1,train
Clc1ccc(Cl)c(Cl)c1,1,train
Oc1ccc(Cl)cc1Cl,1,train
CCCc1ncc(C[n+]2ccccc2C)c(N)n1,0,train
Nc1ccc(S(=O)(=O)O)cc1,1,train
O=[N+]([O-])c1cccc(Cl)c1,1,train
Nc1ccc([N+](=O)[O-])cc1Cl,1,train
CCNc1nc(Cl)nc(NCC)n1,1,train
Nc1ccc(O)cc1,1,train
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,1,train
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,1,train
COC(=O)c1ccccc1N,1,train
Oc1cc(O)c(Cl)cc1Cl,1,valid
NC(=O)Nc1ccc(Cl)cc1,1,test
CN(C)C(=O)Nc1ccc(Cl)cc1,1,train
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1,train
CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,1,train
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,1,test
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,train
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,1,train
O=[N+]([O-])c1ccc(F)c(Cl)c1,1,train
Nc1ccc(F)cc1,1,train
O=Cc1c(F)cccc1Cl,1,train
CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,1,train
Nc1cccc2cccc(N)c12,1,train
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,1,train
Nc1ccncc1,1,valid
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,train
Clc1cccc(Cl)c1,1,test
Nc1ccc(Cl)cc1Cl,1,train
Cc1cccc([N+](=O)[O-])c1N,1,train
Oc1cccc(Cl)c1Cl,1,train
Cc1ccc([N+](=O)[O-])c(N)c1,1,train
Oc1cc(Cl)ccc1Cl,1,test
CCc1ccc(N)cc1,1,train
Nc1cccc(O)c1,1,train
Oc1cc(Cl)cc(Cl)c1,1,valid
Cc1c(N)cccc1[N+](=O)[O-],1,train
O=[N+]([O-])c1cccc(Cl)c1O,1,train
Nc1c(Cl)cccc1Cl,1,test
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,valid
Oc1cc(Cl)c(Cl)c(Cl)c1,1,train
O=[N+]([O-])c1cc(Cl)cc(Cl)c1O,1,test
ClCc1ccccc1Cl,1,test
Cc1ccc(N)c(Cl)c1,1,test
CCOc1ccc(N)c([N+](=O)[O-])c1,1,test
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,train
Clc1ccc(Cl)c(Cl)c1Cl,1,train
Nc1ccc(Cl)c(Cl)c1Cl,1,train
Clc1cc(Cl)c(Cl)c(Cl)c1,1,train
Nc1c(Cl)cc(Cl)cc1Cl,1,test
O=Cc1cc(Cl)ccc1O,1,valid
Nc1cc(Cl)c(Cl)cc1Cl,1,test
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1,train
CCC(=O)Nc1ccc(Cl)c(Cl)c1,1,train
Clc1ccccc1NNc1ccccc1Cl,1,test
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,1,train
O=Cc1ccc(Cl)cc1Cl,1,train
CCOC(=O)c1cccc(N)c1,1,train
Oc1c(Cl)ccc(Cl)c1Cl,1,train
Oc1cc(Cl)cc(Cl)c1Cl,1,train
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1,train
O=C(CCl)c1ccc(Cl)cc1,1,train
COP(=S)(OC)SCSc1ccc(Cl)cc1,1,train
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1,train
Nc1ccc(Br)cn1,1,train
COC(=O)c1ccc(Cl)cc1,1,valid
O=c1ssc(Cl)c1Cl,1,train
N#Cc1c(Cl)cccc1Cl,1,valid
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1,test
CCCCOCC(C)OC(=O)COc1ccc(Cl)cc1Cl,1,train
Nc1cccc(OCc2ccccc2)c1,1,train
Cc1cc(Cl)ccc1O,1,train
Cc1cc(Cl)cc(Cl)c1O,1,train
Cc1c(O)ccc(Cl)c1C,1,train
O=C(O)c1nc(Cl)ccc1Cl,1,test
CON(C)C(=O)Nc1ccc(Cl)cc1,1,train
CCOP(=S)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,1,train
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,train
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,valid
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1,train
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,1,train
N#Cc1cc(Cl)c(O)c(Cl)c1,1,train
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,test
CCNc1nc(Cl)nc(NC(C)C)n1,1,train
COc1c(Cl)ccc(Cl)c1C(=O)O,1,train
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,1,train
COC(=O)Nc1ccc(Cl)c(Cl)c1,1,test
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,1,train
Clc1cccc(C(Cl)(Cl)Cl)n1,1,train
N#Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N,1,train
NC(=O)COc1ccc(Cl)cc1Cl,1,train
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,1,valid
NC(=O)c1c(Cl)cccc1Cl,1,train
Oc1ccc(Cl)cc1O,1,train
Clc1nc(Cl)c(Cl)c(Cl)c1Cl,1,test
CC(=O)c1ccc(Cl)cc1Cl,1,train
O=c1nc(O)n(Cl)c(=O)n1Cl,1,train
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,1,train
NC(=O)c1ccc(Cl)cc1Cl,1,train
COc1cc(Cl)c(Cl)cc1O,1,train
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,1,train
Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1,train
COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,1,train
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,1,train
COc1c(O)c(OC)c(Cl)c(Cl)c1Cl,1,train
CCCCOCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,1,train
COc1cc(Cl)c(OC)cc1Cl,1,train
N#CC(C#N)=Cc1ccccc1Cl,1,test
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,1,train
Nc1ccccc1C(=O)c1ccc(Cl)cc1,1,train
COC(=O)c1cc(Cl)ccc1Cl,1,train
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,1,train
O=S(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,train
Cc1cc(O)cc(C)c1N,1,test
O=[N+]([O-])c1cccc(Cl)c1Cl,1,train
Cc1c(O)cccc1Cl,1,train
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1,valid
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1,train
Oc1cc(Cl)c(Cl)cc1O,1,train
CC1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1,1,test
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,1,valid
CS(=O)(=O)Oc1ccc(Cl)cc1Cl,1,train
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,1,train
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl,1,train
Clc1cc(Cl)nc(-c2ccccc2)n1,1,train
CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,1,train
Oc1ccc(Cl)cn1,1,train
O=C(O)c1cccc(Cl)n1,1,train
CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,1,train
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,1,train
Cc1cc(N)c([N+](=O)[O-])cc1[N+](=O)[O-],1,train
Sc1nc2cc(Cl)ccc2s1,1,train
COC(=O)c1ccc(C(=O)OC)c(N)c1,1,test
CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,1,valid
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,1,train
COP(=O)(OC)Oc1nc(Cl)c(Cl)cc1Cl,1,test
Cc1cc(Cl)nc(N)n1,1,train
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,1,train
CCNc1nc(Cl)nc(NC(C)(C)C)n1,1,valid
N#Cc1cc(Cl)ccc1N,1,train
Cc1cc(Cl)ccc1N=CN(C)C,1,train
O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,1,train
O=Cc1cc([N+](=O)[O-])ccc1Cl,1,train
Cc1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1,1,train
O=C(Nc1cccc(Cl)c1)c1cccc([N+](=O)[O-])c1O,1,train
Oc1nc(Cl)c(Cl)cc1Cl,1,train
Cc1cccc(Cl)c1C#N,1,train
Cc1cc(N)c(O)cc1C,1,test
Oc1cccnc1Cl,1,train
Clc1ccc(Oc2ccccc2)cc1,1,train
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,1,train
Cc1ccc(N)cc1Cl,1,train
CCC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],1,train
Cc1c([N+](=O)[O-])ccc(N)c1[N+](=O)[O-],1,train
Oc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1CN1CCCC1,1,test
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,1,train
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,1,train
CS(=O)(=O)c1c(Cl)c(Cl)nc(Cl)c1Cl,1,train
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,1,test
CC(=O)c1ccc(Cl)c(Cl)c1Cl,1,valid
Oc1cc(Cl)cc(Cl)c1O,1,train
C=CCc1cc(Cl)ccc1O,1,train
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C1CC1,1,train
O=C(Oc1ccccc1)n1c(C(F)(F)F)nc2cc(Cl)c(Cl)cc21,1,train
C[n+]1ccccc1Cl,1,train
COC(=O)C(Cl)Cc1ccc(Cl)cc1,1,train
Cc1ccc(NC(=O)N(C)C)cc1Cl,1,test
Oc1ccc(Cl)c(Cl)c1Cl,1,train
CCCCCCCCc1ccc(N)cc1,1,train
Oc1cccc(Cl)n1,1,valid
Cc1nnc(N)nc1C,1,train
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,1,train
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,1,test
Cc1cccc(Cl)n1,1,train
CCCCOCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl,1,train
Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1,train
CCCCOCCOC(=O)COc1ccc(Cl)cc1C,1,train
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,1,train
COc1ccc(NC(=O)N(C)C)cc1Cl,1,train
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,1,train
CC(=O)C=Cc1cccc(Cl)c1,1,train
O=CNC(Nc1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl,1,train
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,1,train
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1,valid
CCOP(=S)(OCC)Oc1cc(Cl)c(SC)cc1Cl,1,train
CCOC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(Cl)c(Cl)c1,1,train
CC(C)Nc1nc(Cl)nc(NC2CC2)n1,1,train
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1,valid
CC(C)c1cccc(C(C)C)c1N,1,train
N=C(NN=Cc1ccc(Cl)cc1)NN=Cc1ccc(Cl)cc1,1,train
Cn1sc(Cl)cc1=O,1,train
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,1,train
CCN(CC)C(=O)SCc1ccc(Cl)cc1,1,train
N#Cc1c(O)c(Cl)c(Cl)c(C#N)c1Cl,1,train
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)c(O)c4)cc3O)c(O)c12,0,train
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1,train
COc1nc(Cl)c(Cl)cc1Cl,1,train
Cc1cc(Cl)cc(O)c1O,1,train
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,1,train
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,1,train
Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,train
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,1,train
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,1,test
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,1,train
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,1,valid
CCCCCCCCCCc1ccc(N)cc1,1,train
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,1,train
O=[N+]([O-])c1ccccc1Oc1ccc(Cl)cc1,1,test
CCCCCCOc1ccc(N)cc1,1,train
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,1,train
COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],1,valid
COP(=S)(OC)Oc1nc(Cl)n(C(C)C)n1,1,train
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1,train
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,1,valid
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,train
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,1,train
Clc1ccc(Oc2ccccc2)c(Cl)c1,1,train
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,1,train
COC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,1,test
CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,1,train
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,1,train
Cc1c([N+](=O)[O-])ccc([N+](=O)[O-])c1N,1,valid
COc1c(O)cc(Cl)c(Cl)c1Cl,1,train
Clc1cc(Cl)cc(C2(CC(Cl)(Cl)Cl)CO2)c1,1,valid
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,1,train
COc1c(O)c(Cl)cc(Cl)c1Cl,1,train
CNC(=O)OCc1ccc(Cl)c(Cl)c1,1,train
O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1,train
CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1,test
CCCCCCCCn1sc(Cl)c(Cl)c1=O,1,train
CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,1,train
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,1,train
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,1,test
O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,1,train
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,1,train
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,1,train
Cc1ccc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1,train
Cc1c(Cl)cccc1NC=O,1,train
CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,1,train
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,1,train
CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,1,train
O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,1,train
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,1,train
CC1(C)CON(Cc2ccccc2Cl)C1=O,1,train
Cc1cc(=O)c(C(=O)O)nn1-c1ccc(Cl)cc1,1,train
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,1,train
CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,1,valid
CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,1,train
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,1,test
COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,1,train
COC(=O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,1,train
CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,1,train
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1SC(F)(F)F,1,train
