smiles,FishAT,group,catergory
CCOC(=O)C(CC)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1,train,aryl chlorine substituent
OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,1,valid,aryl chlorine substituent
Cn1nc(-c2cc(OCC(=O)O)c(Cl)cc2F)c(Cl)c1OC(F)F,1,train,aryl chlorine substituent
COC(=O)c1nc(-c2ccc(Cl)c(OC)c2F)cc(N)c1Cl,1,train,aryl chlorine substituent
CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1,1,test,aryl chlorine substituent
CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,train,aryl chlorine substituent
CNC(=O)c1cc(C#N)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,1,train,aryl chlorine substituent
O=C(O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1,valid,aryl chlorine substituent
CC(Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1)C(=O)O,1,train,aryl chlorine substituent
CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)O,1,train,aryl chlorine substituent
COc1c(Cl)ccc(-c2cc(N)c(Cl)c(C(=O)O)n2)c1F,0,train,aryl chlorine substituent
CCSC(=O)COc1ccc(Cl)cc1C,1,train,aryl chlorine substituent
Cc1cc(Cl)ccc1OCC(=O)OCCCCCC(C)C,1,train,aryl chlorine substituent
CCCCC(CC)COC(=O)C(C)Oc1ccc(Cl)cc1C,0,test,aryl chlorine substituent
CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl,1,train,aryl chlorine substituent
CCSC(=O)COc1ccc(Cl)cc1Cl,1,valid,aryl chlorine substituent
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0,train,aryl chlorine substituent
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0,train,aryl chlorine substituent
COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0,train,aryl chlorine substituent
CC(=O)C(N=Nc1cc(Cl)c(-c2cc(Cl)c(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,0,train,aryl chlorine substituent
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1,0,train,aryl chlorine substituent
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C,0,train,aryl chlorine substituent
